,MarketName,ContractName,Risk
112,Will Benjamin Netanyahu be prime minister of Israel at year-end?,Will-Netanyahu-be-Israeli-PM-on-12-31,0.5
113,Will Beto O'Rourke file to run for president by 10/31/19?,No,-1.55
114,Will Beto O'Rourke file to run for president by 10/31/19?,Will-Beto-run-by-10-31-19,1.55
115,Will Don McGahn publicly testify before Congress by May 31?,No,-1.3400000000000003
116,Will Don McGahn publicly testify before Congress by May 31?,Will-McGahn-publicly-testify-by-5-31,1.34
117,Will Donald Trump be impeached by year-end 2019?,Will-Trump-be-impeached-by-end-of-2019,4.18
118,Will Donald Trump be impeached by year-end 2019?,Yes,-5.0
119,Will Joe Biden's RCP polling increase after 2nd debate?,Biden-RCP-higher-after-debate,1.17
120,Will Joe Biden's RCP polling increase after 2nd debate?,No,-0.42
121,Will Joe Biden's RCP polling increase after 2nd debate?,Yes,-0.7500000000000001
122,Will John Kasich run for president in 2020?,No,-6.9
123,Will John Kasich run for president in 2020?,Will-Kasich-run-in-2020,6.9
124,Will Julián Castro participate in Sept. 12-13 Democratic debate?,Will-Castro-participate-in-Sept-debate,2.73
125,Will Julián Castro participate in Sept. 12-13 Democratic debate?,Yes,-2.73
126,Will Michael Bennet participate in June 26-27 Democratic debate?,No,-0.7999999999999998
127,Will Michael Bennet participate in June 26-27 Democratic debate?,Will-Bennet-participate-in-June-debate,0.8
128,Will Michelle Obama run for president in 2020?,No,-1.86
129,Will Michelle Obama run for president in 2020?,Will-Michelle-run-in-2020,1.86
130,Will Mike Bloomberg file to run for president by 10/31/19?,No,-0.5299999999999998
131,Will Mike Bloomberg file to run for president by 10/31/19?,Will-Bloomberg-run-by-10-31-19,0.53
132,"Will Mueller mention ""Clinton"" in open House hearing on July 24?",Mueller-mention-Clinton-on-7-24,0.57
133,"Will Mueller mention ""Clinton"" in open House hearing on July 24?",Yes,-0.5699999999999998
134,"Will Mueller mention ""impeach"" in open House hearing on July 24?",Mueller-mention-impeach-on-7-24,0.53
135,"Will Mueller mention ""impeach"" in open House hearing on July 24?",Yes,-0.53
136,Will Mueller publicly testify before Senate  or House Judiciary by July 31?,Mueller-public-Jud-testimony-by-7-31,2.5300000000000002
137,Will Mueller publicly testify before Senate  or House Judiciary by July 31?,Yes,-2.5300000000000002
138,Will Netanyahu be indicted by year-end?,Netanyahu-indicted-by-12-31,0.27
139,Will Netanyahu be indicted by year-end?,Yes,-0.27
140,"Will Nicolás Maduro be president of Venezuela on Dec. 31, 2019?",Maduro-in-office-at-year-end-2019,2.5
141,"Will Nicolás Maduro be president of Venezuela on Dec. 31, 2019?",No,-2.5
142,Will Sanders' polling support increase after 1st debate?,Sanders-polling-higher-after-1st-debate,0.35
143,Will Sanders' polling support increase after 1st debate?,Yes,-0.3499999999999999
144,Will Sherrod Brown run for president in 2020?,No,-1.8
145,Will Sherrod Brown run for president in 2020?,Will-Brown-run-in-2020,1.8
146,Will Stacey Abrams file to run for president by 5/31/19?,No,-0.86
147,Will Stacey Abrams file to run for president by 5/31/19?,Will-Abrams-run-by-5-31-19,0.86
148,Will Steve Bullock participate in June 26-27 Democratic debate?,No,-1.86
149,Will Steve Bullock participate in June 26-27 Democratic debate?,Will-Bullock-participate-in-June-debate,1.86
150,Will Terry McAuliffe run for president in 2020?,No,-0.33999999999999986
151,Will Terry McAuliffe run for president in 2020?,Will-McAuliffe-run-in-2020,0.34
152,Will Theresa May be prime minister of the United Kingdom on 6/30?,No,-0.65
153,Will Theresa May be prime minister of the United Kingdom on 6/30?,Will-May-be-UK-PM-on-6-30,2.57
154,Will Theresa May be prime minister of the United Kingdom on 6/30?,Yes,-1.92
155,Will Tom Steyer participate in October Democratic debate?,Will-Steyer-participate-in-Oct-debate,0.8
156,Will Tom Steyer participate in October Democratic debate?,Yes,-0.8
157,Will Tom Steyer participate in Sept. 12-13 Democratic debate?,No,-7.7
158,Will Tom Steyer participate in Sept. 12-13 Democratic debate?,Will-Steyer-participate-in-Sept-debate,8.649999999999999
159,Will Tom Steyer participate in Sept. 12-13 Democratic debate?,Yes,-0.95
160,Will Trump have another primary challenger on 12/31?,Another-GOP-pres-candidate-on-12-31,2.0
161,Will Trump have another primary challenger on 12/31?,No,-2.0
162,Will Trump meet with Xi Jinping by Mar. 31?,No,-2.05
163,Will Trump meet with Xi Jinping by Mar. 31?,Trump-Xi-meeting-by-3-31,2.05
164,Will Trump pardon Rod Blagojevich or commute his sentence by year-end 2019?,Blago-clemency-in-2019,1.1
165,Will Trump pardon Rod Blagojevich or commute his sentence by year-end 2019?,Yes,-1.1
166,Will Tulsi Gabbard participate in Sept. 12-13 Democratic debate?,Gabbard-participate-in-Sept-debate,3.35
167,Will Tulsi Gabbard participate in Sept. 12-13 Democratic debate?,No,-3.35
168,Will Warren's RCP polling increase after 2nd debate?,Warren-RCP-polling-higher-after-debate,1.0
169,Will Warren's RCP polling increase after 2nd debate?,Yes,-1.0
170,Will Warren's end-of-day RCP average support pass Sanders' by Aug. 31?,Yes,0.0
171,Will Yang see an RCP polling bump from the Ohio debate?,No,-2.0000000000000004
172,Will Yang see an RCP polling bump from the Ohio debate?,Yang-RCP-bump-from-OH-debate,2.7199999999999998
173,Will Yang see an RCP polling bump from the Ohio debate?,Yes,-0.7199999999999998
174,Will Yulia Tymoshenko be elected president of Ukraine in 2019?,Tymoshenko-elected-Ukraine-pres-in-2019,3.0
175,Will Yulia Tymoshenko be elected president of Ukraine in 2019?,Yes,-3.0
176,Will early elections in the U.K. be called by Oct. 31?,No,-4.49
177,Will early elections in the U.K. be called by Oct. 31?,UK-early-elections-called-by-10-31,7.07
178,Will early elections in the U.K. be called by Oct. 31?,Yes,-2.58
179,Will the 2020 Democratic nominee for president be a woman?,Will-the-2020-Dem-nominee-be-a-woman,0.87
180,Will the 2020 Democratic nominee for president be a woman?,Yes,-0.8700000000000001
181,Will the Senate confirm John Ratcliffe as DNI in 2019?,No,-2.85
182,Will the Senate confirm John Ratcliffe as DNI in 2019?,Senate-confirm-Ratcliffe-as-DNI-in-2019,2.85
183,Will the Senate confirm Stephen Moore to Fed board in 2019?,No,-0.7200000000000002
184,Will the Senate confirm Stephen Moore to Fed board in 2019?,Senate-confirm-Moore-to-Fed-in-2019,0.72
185,Will the U.S. label China a currency manipulator in 2019?,China-labeled-currency-manipulator-2019,0.62
186,Will the U.S. label China a currency manipulator in 2019?,Yes,-0.62
187,Will the UK hold another Brexit referendum by Oct. 31?,Another-Brexit-referendum-by-10-31,0.68
188,Will the UK hold another Brexit referendum by Oct. 31?,Yes,-0.6800000000000002
189,Will the UK officially exit the European Union by Nov. 1?,No,-8.09
190,Will the UK officially exit the European Union by Nov. 1?,Official-Brexit-by-11-1,8.09
191,Will there be a recession in the U.S. by year-end 2019?,US-recession-by-year-end-2019,7.75
192,Will there be a recession in the U.S. by year-end 2019?,Yes,-7.750000000000001
